       Year,             Service,   Severity,
         69,    EmergencyService,          0,
         70,    TechnicalService,          0,
         70,   NavigationService,          0,
         70,    EmergencyService,          1,
         71,   BiologicalService,          2,
         71,   NavigationService,          0,
         71,    EmergencyService,          0,
         72,    TechnicalService,          0,
         72,      MedicalService,          3,
         72,   NavigationService,          0,
         72,    EmergencyService,          1,
         72,       SocialService,          3,
         73,    TechnicalService,          0,
         73,   NavigationService,          0,
         73,    EmergencyService,          0,
         74,      MedicalService,          1,
         74,   NavigationService,          4,
         74,    EmergencyService,          0,
         74,       SocialService,          5,
         75,   NavigationService,          3,
         75,    EmergencyService,          3,
         76,   NavigationService,          3,
         76,    EmergencyService,          4,
         77,    TechnicalService,          0,
         77,   NavigationService,          1,
         77,    EmergencyService,          0,
         77,       SocialService,          1,
         78,    TechnicalService,          1,
         78,   NavigationService,          0,
         78,    EmergencyService,          1,
         79,   NavigationService,          4,
         79,    EmergencyService,          3,
         80,    TechnicalService,          0,
         80,   BiologicalService,          0,
         80,   NavigationService,          1,
         81,      MedicalService,          5,
         81,   NavigationService,          3,
         81,    EmergencyService,          1,
         82,   NavigationService,          0,
         82,    EmergencyService,          5,
         83,    EmergencyService,          1,
         83,       SocialService,          3,
         84,    TechnicalService,          0,
         84,      MedicalService,          1,
         84,   NavigationService,          2,
         84,    EmergencyService,          3,
         85,   BiologicalService,          5,
         85,      MedicalService,          4,
         85,   NavigationService,          2,
         85,    EmergencyService,          5,
         85,       SocialService,          1,
         86,    TechnicalService,          2,
         86,   BiologicalService,          2,
         86,   NavigationService,          5,
         86,    EmergencyService,          3,
         87,    TechnicalService,          2,
         87,      MedicalService,          0,
         87,   NavigationService,          3,
         87,    EmergencyService,          4,
         88,   BiologicalService,          1,
         88,   NavigationService,          1,
         88,    EmergencyService,          3,
         89,   NavigationService,          1,
         89,    EmergencyService,          0,
         89,       SocialService,          1,
         90,   BiologicalService,          1,
         90,   NavigationService,          1,
         90,    EmergencyService,          0,
         91,    TechnicalService,          1,
         91,      MedicalService,          3,
         91,   NavigationService,          0,
         92,   NavigationService,          3,
         92,    EmergencyService,          1,
         93,    TechnicalService,          2,
         93,   NavigationService,          2,
         93,    EmergencyService,          5,
         94,   BiologicalService,          1,
         94,      MedicalService,          0,
         94,   NavigationService,          3,
         94,    EmergencyService,          2,
         95,   NavigationService,          0,
         95,    EmergencyService,          5,
         95,       SocialService,          3,
         96,   NavigationService,          3,
         96,    EmergencyService,          1,
         97,   NavigationService,          0,
         97,       SocialService,          0,
         98,      MedicalService,          0,
         98,   NavigationService,          1,
         98,    EmergencyService,          0,
         98,       SocialService,          1,
         99,   BiologicalService,          3,
         99,      MedicalService,          1,
         99,   NavigationService,          2,
         99,    EmergencyService,          5,
        100,    TechnicalService,          2,
        100,   BiologicalService,          2,
        100,   NavigationService,          0,
        100,    EmergencyService,          0,
        101,   NavigationService,          0,
        101,    EmergencyService,          4,
        102,    TechnicalService,          2,
        102,   BiologicalService,          0,
        102,      MedicalService,          3,
        102,   NavigationService,          4,
        102,    EmergencyService,          4,
        103,   BiologicalService,          1,
        103,      MedicalService,          1,
        103,       SocialService,          0,
        104,      MedicalService,          4,
        104,   NavigationService,          0,
        104,       SocialService,          0,
        105,    TechnicalService,          5,
        105,      MedicalService,          0,
        105,   NavigationService,          0,
        105,    EmergencyService,          1,
        105,       SocialService,          2,
        106,   NavigationService,          0,
        107,      MedicalService,          0,
        107,   NavigationService,          0,
        107,    EmergencyService,          1,
        107,       SocialService,          0,
        108,   BiologicalService,          0,
        108,   NavigationService,          4,
        108,    EmergencyService,          2,
        108,       SocialService,          0,
        109,   BiologicalService,          0,
        109,   NavigationService,          5,
        109,    EmergencyService,          5,
        109,       SocialService,          1,
        110,      MedicalService,          3,
        110,   NavigationService,          4,
        110,    EmergencyService,          4,
        110,       SocialService,          5,
        111,    TechnicalService,          1,
        111,      MedicalService,          1,
        111,   NavigationService,          0,
        111,    EmergencyService,          0,
        111,       SocialService,          1,
        112,      MedicalService,          0,
        112,   NavigationService,          3,
        112,       SocialService,          0,
        113,    TechnicalService,          2,
        113,      MedicalService,          5,
        113,   NavigationService,          0,
        113,       SocialService,          2,
        114,      MedicalService,          0,
        114,   NavigationService,          1,
        114,    EmergencyService,          3,
        115,      MedicalService,          0,
        115,   NavigationService,          1,
        115,       SocialService,          0,
        116,    TechnicalService,          3,
        116,   BiologicalService,          1,
        116,   NavigationService,          0,
        116,    EmergencyService,          1,
        117,    TechnicalService,          0,
        117,   NavigationService,          1,
        117,    EmergencyService,          1,
        118,      MedicalService,          2,
        118,   NavigationService,          1,
        118,    EmergencyService,          0,
        119,    TechnicalService,          0,
        119,      MedicalService,          2,
        119,   NavigationService,          5,
        119,    EmergencyService,          0,
        120,    TechnicalService,          1,
        120,   NavigationService,          4,
        120,    EmergencyService,          0,
        120,       SocialService,          0,
        121,    TechnicalService,          1,
        121,      MedicalService,          5,
        121,   NavigationService,          0,
        121,    EmergencyService,          4,
        122,    TechnicalService,          0,
        122,   NavigationService,          0,
        122,    EmergencyService,          5,
        122,       SocialService,          2,
        123,    TechnicalService,          5,
        123,      MedicalService,          0,
        123,    EmergencyService,          0,
        123,       SocialService,          1,
        124,    TechnicalService,          1,
        124,   NavigationService,          0,
        124,    EmergencyService,          5,
        124,       SocialService,          5,
        125,    TechnicalService,          1,
        125,   BiologicalService,          1,
        125,    EmergencyService,          2,
        126,    TechnicalService,          1,
        126,      MedicalService,          0,
        126,   NavigationService,          0,
        126,    EmergencyService,          5,
        127,    TechnicalService,          1,
        127,   NavigationService,          5,
        127,    EmergencyService,          1,
        128,   BiologicalService,          0,
        128,      MedicalService,          3,
        128,   NavigationService,          0,
        128,       SocialService,          4,
        129,   BiologicalService,          0,
        129,      MedicalService,          3,
        129,   NavigationService,          5,
        129,    EmergencyService,          1,
        129,       SocialService,          1,
        130,    TechnicalService,          2,
        130,   BiologicalService,          1,
        130,      MedicalService,          1,
        130,   NavigationService,          4,
        130,    EmergencyService,          0,
        130,       SocialService,          0,
        131,   NavigationService,          1,
        131,    EmergencyService,          0,
        131,       SocialService,          3,
        132,      MedicalService,          2,
        132,    EmergencyService,          2,
        132,       SocialService,          0,
        133,    TechnicalService,          5,
        133,   BiologicalService,          4,
        133,      MedicalService,          1,
        133,   NavigationService,          4,
        133,    EmergencyService,          0,
        133,       SocialService,          0,
        134,    TechnicalService,          2,
        134,   NavigationService,          5,
        134,    EmergencyService,          0,
        134,       SocialService,          1,
        135,   BiologicalService,          1,
        135,      MedicalService,          1,
        135,   NavigationService,          0,
        135,    EmergencyService,          1,
        136,   NavigationService,          1,
        136,    EmergencyService,          2,
        137,   BiologicalService,          2,
        137,   NavigationService,          0,
        137,    EmergencyService,          1,
        138,      MedicalService,          1,
        138,   NavigationService,          4,
        138,    EmergencyService,          0,
        139,   NavigationService,          4,
        139,    EmergencyService,          1,
        140,   NavigationService,          1,
        140,    EmergencyService,          2,
        141,      MedicalService,          2,
        141,   NavigationService,          0,
        141,    EmergencyService,          0,
        141,       SocialService,          0,
        142,   NavigationService,          4,
        142,    EmergencyService,          0,
        142,       SocialService,          1,
        143,      MedicalService,          1,
        143,   NavigationService,          0,
        143,    EmergencyService,          1,
        143,       SocialService,          3,
        144,      MedicalService,          2,
        144,   NavigationService,          1,
        144,    EmergencyService,          5,
        145,   BiologicalService,          1,
        145,   NavigationService,          1,
        145,    EmergencyService,          0,
        146,    TechnicalService,          0,
        146,   NavigationService,          0,
        146,    EmergencyService,          5,
        146,       SocialService,          1,
        147,    TechnicalService,          0,
        147,   BiologicalService,          0,
        147,      MedicalService,          2,
        147,   NavigationService,          3,
        147,       SocialService,          1,
        148,    TechnicalService,          1,
        148,      MedicalService,          0,
        148,   NavigationService,          1,
        149,    TechnicalService,          0,
        149,   NavigationService,          0,
        149,    EmergencyService,          4,
        150,    TechnicalService,          3,
        150,   NavigationService,          0,
        150,    EmergencyService,          5,
        150,       SocialService,          2,
        151,    TechnicalService,          0,
        151,      MedicalService,          0,
        151,   NavigationService,          1,
        151,    EmergencyService,          2,
        152,      MedicalService,          1,
        152,   NavigationService,          0,
        152,    EmergencyService,          5,
        153,    TechnicalService,          3,
        153,      MedicalService,          0,
        153,    EmergencyService,          2,
        153,       SocialService,          1,
        154,    TechnicalService,          4,
        154,   NavigationService,          3,
        154,    EmergencyService,          0,
        155,    TechnicalService,          1,
        155,      MedicalService,          4,
        155,   NavigationService,          4,
        155,    EmergencyService,          0,
        156,    TechnicalService,          2,
        156,      MedicalService,          0,
        156,   NavigationService,          0,
        156,    EmergencyService,          0,
        157,   NavigationService,          0,
        157,    EmergencyService,          1,
        158,   BiologicalService,          0,
        158,   NavigationService,          0,
        158,    EmergencyService,          2,
        158,       SocialService,          0,
        159,   NavigationService,          3,
        159,    EmergencyService,          4,
        160,    TechnicalService,          4,
        160,   BiologicalService,          4,
        160,      MedicalService,          0,
        160,   NavigationService,          3,
        160,    EmergencyService,          3,
        161,    TechnicalService,          0,
        161,   BiologicalService,          2,
        161,      MedicalService,          5,
        161,   NavigationService,          5,
        161,    EmergencyService,          2,
        161,       SocialService,          0,
        162,   BiologicalService,          0,
        162,   NavigationService,          4,
        162,    EmergencyService,          0,
        162,       SocialService,          4,
        163,    TechnicalService,          0,
        163,      MedicalService,          0,
        163,   NavigationService,          2,
        163,    EmergencyService,          0,
        163,       SocialService,          1,
        164,      MedicalService,          2,
        164,   NavigationService,          2,
        165,    TechnicalService,          1,
        165,   BiologicalService,          2,
        165,      MedicalService,          2,
        165,   NavigationService,          2,
        165,    EmergencyService,          1,
        166,      MedicalService,          0,
        166,   NavigationService,          0,
        166,    EmergencyService,          1,
        166,       SocialService,          0,
        167,   NavigationService,          0,
        168,    TechnicalService,          0,
        168,   NavigationService,          1,
        168,    EmergencyService,          0,
        169,   BiologicalService,          1,
        169,   NavigationService,          4,
        169,    EmergencyService,          4,
        169,       SocialService,          0,
        170,   BiologicalService,          0,
        170,   NavigationService,          1,
        170,    EmergencyService,          2,
        170,       SocialService,          0,
        171,      MedicalService,          0,
        171,   NavigationService,          4,
        171,       SocialService,          3,
        172,   NavigationService,          1,
        172,    EmergencyService,          1,
        172,       SocialService,          4,
        173,    TechnicalService,          5,
        173,   BiologicalService,          2,
        173,    EmergencyService,          1,
        174,    TechnicalService,          1,
        174,      MedicalService,          2,
        174,   NavigationService,          2,
        174,    EmergencyService,          0,
        174,       SocialService,          0,
        175,    TechnicalService,          5,
        175,      MedicalService,          0,
        175,   NavigationService,          3,
        175,    EmergencyService,          0,
        175,       SocialService,          2,
        176,   BiologicalService,          0,
        176,      MedicalService,          0,
        176,   NavigationService,          1,
        176,    EmergencyService,          2,
        177,    TechnicalService,          2,
        177,   NavigationService,          1,
        177,    EmergencyService,          0,
        178,   BiologicalService,          1,
        178,      MedicalService,          0,
        178,   NavigationService,          1,
        178,    EmergencyService,          2,
        178,       SocialService,          1,
        179,    TechnicalService,          2,
        179,    EmergencyService,          4,
        179,       SocialService,          0,
        180,   NavigationService,          1,
        180,    EmergencyService,          0,
        181,   BiologicalService,          0,
        181,   NavigationService,          4,
        181,    EmergencyService,          3,
        181,       SocialService,          0,
        182,   BiologicalService,          1,
        182,      MedicalService,          2,
        182,   NavigationService,          3,
        182,    EmergencyService,          0,
        183,    TechnicalService,          1,
        183,   NavigationService,          2,
        183,    EmergencyService,          1,
        184,      MedicalService,          2,
        184,   NavigationService,          2,
        184,    EmergencyService,          0,
        185,      MedicalService,          0,
        185,   NavigationService,          5,
        185,    EmergencyService,          1,
        185,       SocialService,          0,
        186,    TechnicalService,          3,
        186,   BiologicalService,          0,
        186,   NavigationService,          1,
        186,    EmergencyService,          2,
        186,       SocialService,          0,
        187,   NavigationService,          2,
        187,    EmergencyService,          2,
        188,      MedicalService,          0,
        188,   NavigationService,          4,
        188,    EmergencyService,          2,
        189,      MedicalService,          0,
        189,    EmergencyService,          0,
        190,    TechnicalService,          1,
        190,   BiologicalService,          0,
        190,      MedicalService,          0,
        190,   NavigationService,          0,
        190,    EmergencyService,          1,
        191,   BiologicalService,          0,
        191,    EmergencyService,          1,
        192,   NavigationService,          0,
        192,    EmergencyService,          3,
        192,       SocialService,          4,
        193,    TechnicalService,          1,
        193,   NavigationService,          0,
        193,    EmergencyService,          1,
        193,       SocialService,          2,
        194,    TechnicalService,          5,
        194,   BiologicalService,          0,
        194,      MedicalService,          2,
        194,   NavigationService,          1,
        194,    EmergencyService,          2,
        195,    TechnicalService,          0,
        195,   BiologicalService,          1,
        195,   NavigationService,          1,
        195,    EmergencyService,          2,
        195,       SocialService,          0,
        196,    TechnicalService,          0,
        196,   BiologicalService,          3,
        196,   NavigationService,          0,
        196,    EmergencyService,          0,
        196,       SocialService,          0,
        197,    TechnicalService,          0,
        197,      MedicalService,          2,
        197,   NavigationService,          0,
        197,    EmergencyService,          2,
        198,   BiologicalService,          2,
        198,   NavigationService,          0,
        198,    EmergencyService,          0,
        198,       SocialService,          0,
        199,   NavigationService,          2,
        199,    EmergencyService,          0,
        199,       SocialService,          1,
        200,   BiologicalService,          2,
        200,      MedicalService,          2,
        200,   NavigationService,          0,
        200,    EmergencyService,          5,
        201,      MedicalService,          2,
        201,   NavigationService,          0,
        201,    EmergencyService,          0,
        201,       SocialService,          1,
        202,    TechnicalService,          0,
        202,   BiologicalService,          2,
        202,      MedicalService,          1,
        202,   NavigationService,          0,
        202,    EmergencyService,          1,
        203,    TechnicalService,          0,
        203,   BiologicalService,          2,
        203,   NavigationService,          1,
        203,    EmergencyService,          0,
        204,      MedicalService,          0,
        204,   NavigationService,          2,
        204,    EmergencyService,          4,
        204,       SocialService,          2,
        205,    TechnicalService,          0,
        205,   NavigationService,          0,
        205,    EmergencyService,          0,
        205,       SocialService,          0,
        206,    TechnicalService,          1,
        206,   BiologicalService,          0,
        206,   NavigationService,          0,
        206,    EmergencyService,          0,
        206,       SocialService,          1,
        207,      MedicalService,          0,
        207,    EmergencyService,          5,
        207,       SocialService,          1,
        208,    TechnicalService,          1,
        208,      MedicalService,          2,
        208,   NavigationService,          0,
        208,    EmergencyService,          0,
        209,    TechnicalService,          0,
        209,   BiologicalService,          1,
        209,   NavigationService,          0,
        209,    EmergencyService,          0,
        209,       SocialService,          0,
        210,    TechnicalService,          1,
        210,   BiologicalService,          0,
        210,   NavigationService,          1,
        210,    EmergencyService,          1,
        210,       SocialService,          1,
        211,    TechnicalService,          3,
        211,   NavigationService,          1,
        211,    EmergencyService,          1,
        211,       SocialService,          0,
        212,    TechnicalService,          0,
        212,   BiologicalService,          1,
        212,   NavigationService,          0,
        212,    EmergencyService,          2,
        212,       SocialService,          1,
        213,    TechnicalService,          3,
        213,   NavigationService,          0,
        213,    EmergencyService,          3,
        213,       SocialService,          5,
        214,    TechnicalService,          1,
        214,   NavigationService,          1,
        214,    EmergencyService,          4,
        214,       SocialService,          1,
        215,    TechnicalService,          0,
        215,   BiologicalService,          4,
        215,   NavigationService,          3,
        215,    EmergencyService,          1,
        216,    TechnicalService,          0,
        216,   BiologicalService,          0,
        216,      MedicalService,          3,
        216,   NavigationService,          0,
        216,    EmergencyService,          0,
        217,   BiologicalService,          0,
        217,   NavigationService,          1,
        217,    EmergencyService,          0,
        218,    TechnicalService,          0,
        218,   BiologicalService,          1,
        218,   NavigationService,          0,
        218,    EmergencyService,          1,
        218,       SocialService,          2,
        219,   BiologicalService,          0,
        219,   NavigationService,          2,
        219,    EmergencyService,          3,
        219,       SocialService,          4,
        220,    TechnicalService,          1,
        220,   NavigationService,          2,
        220,    EmergencyService,          5,
        221,    TechnicalService,          0,
        221,   BiologicalService,          1,
        221,      MedicalService,          0,
        221,   NavigationService,          0,
        221,    EmergencyService,          0,
        221,       SocialService,          0,
        222,    TechnicalService,          1,
        222,   BiologicalService,          0,
        222,      MedicalService,          2,
        222,   NavigationService,          1,
        222,    EmergencyService,          2,
        222,       SocialService,          0,
        223,    TechnicalService,          1,
        223,      MedicalService,          5,
        223,   NavigationService,          5,
        223,    EmergencyService,          1,
        224,    TechnicalService,          3,
        224,   NavigationService,          1,
        224,    EmergencyService,          1,
        224,       SocialService,          1,
        225,    TechnicalService,          1,
        225,      MedicalService,          0,
        225,   NavigationService,          0,
        225,    EmergencyService,          1,
        226,    TechnicalService,          0,
        226,   BiologicalService,          3,
        226,      MedicalService,          1,
        226,       SocialService,          0,
        227,    TechnicalService,          0,
        227,   NavigationService,          0,
        227,    EmergencyService,          3,
        228,    TechnicalService,          1,
        228,      MedicalService,          1,
        228,   NavigationService,          0,
        228,    EmergencyService,          4,
        229,    TechnicalService,          0,
        229,   BiologicalService,          4,
        229,   NavigationService,          3,
        229,    EmergencyService,          1,
        229,       SocialService,          0,
        230,    TechnicalService,          5,
        230,   BiologicalService,          2,
        230,   NavigationService,          0,
        230,    EmergencyService,          2,
        230,       SocialService,          0,
        231,    TechnicalService,          3,
        231,      MedicalService,          3,
        231,   NavigationService,          0,
        231,    EmergencyService,          0,
        231,       SocialService,          3,
        232,    TechnicalService,          2,
        232,      MedicalService,          1,
        232,   NavigationService,          5,
        232,    EmergencyService,          0,
        233,    TechnicalService,          1,
        233,   NavigationService,          0,
        233,    EmergencyService,          3,
        233,       SocialService,          0,
        234,    TechnicalService,          4,
        234,      MedicalService,          0,
        234,   NavigationService,          5,
        234,    EmergencyService,          1,
        234,       SocialService,          0,
        235,    TechnicalService,          1,
        235,      MedicalService,          3,
        235,   NavigationService,          1,
        235,    EmergencyService,          0,
        236,    TechnicalService,          4,
        236,   NavigationService,          1,
        236,    EmergencyService,          0,
        237,    TechnicalService,          0,
        237,      MedicalService,          0,
        237,   NavigationService,          1,
        237,    EmergencyService,          0,
        237,       SocialService,          0,
        238,    TechnicalService,          2,
        238,   NavigationService,          1,
        238,    EmergencyService,          0,
        238,       SocialService,          0,
        239,    TechnicalService,          0,
        239,   BiologicalService,          1,
        239,   NavigationService,          4,
        239,    EmergencyService,          0,
        240,    TechnicalService,          5,
        240,   NavigationService,          5,
        240,    EmergencyService,          0,
        241,    TechnicalService,          5,
        241,   BiologicalService,          0,
        241,    EmergencyService,          3,
        241,       SocialService,          0,
        242,    TechnicalService,          1,
        242,      MedicalService,          1,
        242,   NavigationService,          0,
        242,    EmergencyService,          1,
        242,       SocialService,          0,
        243,    TechnicalService,          1,
        243,   BiologicalService,          1,
        243,   NavigationService,          4,
        243,    EmergencyService,          0,
        244,    TechnicalService,          1,
        244,   NavigationService,          0,
        244,    EmergencyService,          3,
        244,       SocialService,          1,
        245,    TechnicalService,          0,
        245,   BiologicalService,          1,
        245,      MedicalService,          0,
        245,   NavigationService,          1,
        245,    EmergencyService,          2,
        246,    TechnicalService,          3,
        246,   BiologicalService,          0,
        246,   NavigationService,          0,
        246,    EmergencyService,          0,
        247,    TechnicalService,          0,
        247,   BiologicalService,          0,
        247,   NavigationService,          0,
        247,    EmergencyService,          5,
        248,    TechnicalService,          1,
        248,   BiologicalService,          0,
        248,   NavigationService,          0,
        248,    EmergencyService,          2,
        249,    TechnicalService,          0,
        249,   BiologicalService,          2,
        249,   NavigationService,          4,
        249,    EmergencyService,          2,
        249,       SocialService,          0,
        250,    TechnicalService,          4,
        250,   NavigationService,          1,
        250,    EmergencyService,          0,
        250,       SocialService,          1,
        251,    TechnicalService,          0,
        251,      MedicalService,          1,
        251,   NavigationService,          0,
        252,    TechnicalService,          1,
        252,   NavigationService,          4,
        252,    EmergencyService,          3,
        252,       SocialService,          2,
        253,    TechnicalService,          2,
        253,   NavigationService,          0,
        253,    EmergencyService,          4,
        254,    TechnicalService,          1,
        254,   BiologicalService,          0,
        254,      MedicalService,          1,
        254,    EmergencyService,          2,
        255,    TechnicalService,          4,
        255,      MedicalService,          0,
        255,   NavigationService,          0,
        255,    EmergencyService,          0,
        256,    TechnicalService,          2,
        256,   BiologicalService,          2,
        256,   NavigationService,          0,
        256,    EmergencyService,          0,
        257,    TechnicalService,          0,
        257,      MedicalService,          0,
        257,   NavigationService,          3,
        257,    EmergencyService,          0,
        258,    TechnicalService,          2,
        258,      MedicalService,          0,
        258,   NavigationService,          2,
        258,    EmergencyService,          0,
        258,       SocialService,          3,
        259,    TechnicalService,          4,
        259,      MedicalService,          4,
        259,    EmergencyService,          0,
        259,       SocialService,          4,
        260,    TechnicalService,          0,
        260,   NavigationService,          1,
        260,    EmergencyService,          5,
        261,    TechnicalService,          0,
        261,      MedicalService,          0,
        261,   NavigationService,          0,
        261,    EmergencyService,          5,
        261,       SocialService,          0,
        262,    TechnicalService,          3,
        262,   BiologicalService,          0,
        262,   NavigationService,          0,
        262,    EmergencyService,          1,
        263,    TechnicalService,          0,
        263,   NavigationService,          2,
        263,    EmergencyService,          0,
        264,    TechnicalService,          0,
        264,   NavigationService,          0,
        264,    EmergencyService,          0,
        265,    TechnicalService,          5,
        265,   BiologicalService,          0,
        265,      MedicalService,          0,
        265,    EmergencyService,          0,
        266,    TechnicalService,          1,
        266,   BiologicalService,          1,
        266,      MedicalService,          1,
        266,   NavigationService,          1,
        266,    EmergencyService,          1,
        266,       SocialService,          1,
        267,    TechnicalService,          2,
        267,   BiologicalService,          0,
        267,      MedicalService,          0,
        267,   NavigationService,          0,
        267,    EmergencyService,          2,
        267,       SocialService,          3,
        268,    TechnicalService,          0,
        268,      MedicalService,          0,
        268,   NavigationService,          1,
        268,    EmergencyService,          1,
        268,       SocialService,          0,
        269,    TechnicalService,          1,
        269,   BiologicalService,          1,
        269,   NavigationService,          1,
        269,    EmergencyService,          5,
        269,       SocialService,          2,
        270,    TechnicalService,          2,
        270,   NavigationService,          3,
        270,    EmergencyService,          0,
        271,    TechnicalService,          1,
        271,   BiologicalService,          0,
        271,      MedicalService,          5,
        271,   NavigationService,          1,
        271,    EmergencyService,          0,
        271,       SocialService,          2,
        272,    TechnicalService,          3,
        272,   NavigationService,          0,
        273,   BiologicalService,          0,
        273,   NavigationService,          3,
        273,    EmergencyService,          4,
        273,       SocialService,          0,
        274,    TechnicalService,          0,
        274,      MedicalService,          1,
        274,   NavigationService,          3,
        274,    EmergencyService,          3,
        275,    TechnicalService,          1,
        275,   BiologicalService,          1,
        275,   NavigationService,          0,
        275,    EmergencyService,          0,
        275,       SocialService,          0,
        276,    TechnicalService,          0,
        276,   BiologicalService,          0,
        276,      MedicalService,          1,
        276,   NavigationService,          2,
        276,    EmergencyService,          3,
        277,    TechnicalService,          2,
        277,   BiologicalService,          2,
        277,      MedicalService,          0,
        277,   NavigationService,          1,
        277,    EmergencyService,          5,
        277,       SocialService,          5,
        278,    TechnicalService,          1,
        278,   NavigationService,          0,
        278,    EmergencyService,          0,
        278,       SocialService,          0,
        279,    TechnicalService,          2,
